t_mean_obs_s Lum_abs_cgs
8.527091705470806 6.994363051674808e+47
21.168212372221056 1.8019529019418037e+48
27.479685729839854 2.216610956704141e+48
34.296044269428 1.8300939421263985e+48
41.79646644990392 1.7513226355013332e+48
49.73845579027949 2.000749443610275e+48
56.90271927349878 1.6638937208974912e+48
73.91883435900306 4.887245156065124e+47
141.50021619541803 1.1681091593810662e+47
9776.172307163599 1.0576818451071285e+44
142885.84076929142 4.007725035298829e+43
258552.22702916534 6.52978803903189e+43
627088.1399637255 6.255250245092472e+43
801270.5448997429 7.925108482022186e+43
1277989.5919746014 6.035065797341709e+43
1867578.932352713 1.2541458415769936e+44
1959938.2539511225 2.2789850583578124e+43
2978920.992718973 8.178885485239438e+43
3075997.8062807946 3.3231932169073127e+43

